State,different_from_oregon_flag,metric_nodata_flag,metric,variable,category,category_reporting_flag,category_reporting_note
GU,TRUE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,TRUE,Census does not provide race or ethnicity information for Guam.
GU,TRUE,TRUE,Deaths,Race,Black or African American,FALSE,NA
GU,TRUE,TRUE,Deaths,Race,Hispanic or Latino,FALSE,NA
GU,TRUE,TRUE,Deaths,Race,Asian,FALSE,NA
GU,TRUE,TRUE,Deaths,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
GU,TRUE,TRUE,Deaths,Race,American Indian and Alaska Native,FALSE,NA
GU,TRUE,TRUE,Deaths,Race,Two or more races,FALSE,NA
GU,TRUE,TRUE,Deaths,Race,White,FALSE,NA
GU,TRUE,TRUE,Deaths,Race,Some other race,FALSE,NA
GU,TRUE,TRUE,Deaths,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
GU,TRUE,TRUE,Deaths,Ethnicity,Not Hispanic or Latino,FALSE,NA
HI,TRUE,FALSE,Cases,Race,Black or African American,FALSE,NA
HI,TRUE,FALSE,Cases,Race,Hispanic or Latino,FALSE,NA
HI,TRUE,FALSE,Cases,Race,Asian,FALSE,NA
HI,TRUE,FALSE,Cases,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
HI,TRUE,FALSE,Cases,Race,American Indian and Alaska Native,TRUE,"Hawaii does not specify if this race category is included under a grouping it labels ""Other."""
HI,TRUE,FALSE,Cases,Race,Two or more races,FALSE,NA
HI,TRUE,FALSE,Cases,Race,White,FALSE,NA
HI,TRUE,FALSE,Cases,Race,Some other race,TRUE,"Hawaii does not specify if this race category is included under a grouping it labels ""Other."""
HI,TRUE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
HI,TRUE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,FALSE,NA
HI,TRUE,TRUE,Deaths,Race,Black or African American,FALSE,NA
HI,TRUE,TRUE,Deaths,Race,Hispanic or Latino,FALSE,NA
HI,TRUE,TRUE,Deaths,Race,Asian,FALSE,NA
HI,TRUE,TRUE,Deaths,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
HI,TRUE,TRUE,Deaths,Race,American Indian and Alaska Native,FALSE,NA
HI,TRUE,TRUE,Deaths,Race,Two or more races,FALSE,NA
HI,TRUE,TRUE,Deaths,Race,White,FALSE,NA
HI,TRUE,TRUE,Deaths,Race,Some other race,FALSE,NA
HI,TRUE,TRUE,Deaths,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
HI,TRUE,TRUE,Deaths,Ethnicity,Not Hispanic or Latino,FALSE,NA
IA,FALSE,FALSE,Cases,Race,Black or African American,FALSE,NA
IA,FALSE,FALSE,Cases,Race,Hispanic or Latino,FALSE,NA
IA,FALSE,FALSE,Cases,Race,Asian,FALSE,NA
IA,FALSE,FALSE,Cases,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
IA,FALSE,FALSE,Cases,Race,American Indian and Alaska Native,FALSE,NA
IA,FALSE,FALSE,Cases,Race,Two or more races,FALSE,NA
IA,FALSE,FALSE,Cases,Race,White,FALSE,NA
IA,FALSE,FALSE,Cases,Race,Some other race,FALSE,NA
