Date,State,metric,variable,category,percent,small_denom_flag,State_Name,oregon_flag,tooltip_text
20200628,CO,Deaths,Ethnicity,Hispanic,0.22008679479231247,FALSE,Colorado,FALSE,"of COVID19 deaths in Colorado were from individuals of Hispanic ethnicity (as of June 28, 2020)"
20200628,CO,Deaths,Ethnicity,Not Hispanic,0.7774333539987601,FALSE,Colorado,FALSE,"of COVID19 deaths in Colorado were from individuals of Not Hispanic ethnicity (as of June 28, 2020)"
20200628,CO,Deaths,Ethnicity,Refused/Unknown,0.03905765654060756,FALSE,Colorado,FALSE,"of COVID19 deaths in Colorado were from individuals of Refused/Unknown ethnicity (as of June 28, 2020)"
20200628,CT,Cases,Race,Black,0.18933375039099157,FALSE,Connecticut,FALSE,"of COVID19 cases in Connecticut were from individuals of Black race (as of June 28, 2020)"
20200628,CT,Cases,Race,Asian,0.020957147325617768,FALSE,Connecticut,FALSE,"of COVID19 cases in Connecticut were from individuals of Asian race (as of June 28, 2020)"
20200628,CT,Cases,Race,Pacific Is.,,,Connecticut,FALSE,"of COVID19 cases in Connecticut were from individuals of Pacific Is. race (as of June 28, 2020)"
20200628,CT,Cases,Race,AI/AN,,,Connecticut,FALSE,"of COVID19 cases in Connecticut were from individuals of AI/AN race (as of June 28, 2020)"
20200628,CT,Cases,Race,Multiracial,,,Connecticut,FALSE,"of COVID19 cases in Connecticut were from individuals of Multiracial race (as of June 28, 2020)"
20200628,CT,Cases,Race,White,0.5042539881138567,FALSE,Connecticut,FALSE,"of COVID19 cases in Connecticut were from individuals of White race (as of June 28, 2020)"
20200628,CT,Cases,Race,Other,0.007944948389114794,FALSE,Connecticut,FALSE,"of COVID19 cases in Connecticut were from individuals of Other race (as of June 28, 2020)"
20200628,CT,Cases,Ethnicity,Hispanic,0.2721614013137316,FALSE,Connecticut,FALSE,"of COVID19 cases in Connecticut were from individuals of Hispanic ethnicity (as of June 28, 2020)"
20200628,CT,Cases,Ethnicity,Not Hispanic,0.5042539881138567,FALSE,Connecticut,FALSE,"of COVID19 cases in Connecticut were from individuals of Not Hispanic ethnicity (as of June 28, 2020)"
20200628,CT,Cases,Ethnicity,Refused/Unknown,0.4483265561463872,FALSE,Connecticut,FALSE,"of COVID19 cases in Connecticut were from individuals of Refused/Unknown ethnicity (as of June 28, 2020)"
20200628,CT,Deaths,Race,Black,0.15091678420310295,FALSE,Connecticut,FALSE,"of COVID19 deaths in Connecticut were from individuals of Black race (as of June 28, 2020)"
20200628,CT,Deaths,Race,Asian,0.010578279266572637,FALSE,Connecticut,FALSE,"of COVID19 deaths in Connecticut were from individuals of Asian race (as of June 28, 2020)"
20200628,CT,Deaths,Race,Pacific Is.,,,Connecticut,FALSE,"of COVID19 deaths in Connecticut were from individuals of Pacific Is. race (as of June 28, 2020)"
20200628,CT,Deaths,Race,AI/AN,,,Connecticut,FALSE,"of COVID19 deaths in Connecticut were from individuals of AI/AN race (as of June 28, 2020)"
20200628,CT,Deaths,Race,Multiracial,,,Connecticut,FALSE,"of COVID19 deaths in Connecticut were from individuals of Multiracial race (as of June 28, 2020)"
20200628,CT,Deaths,Race,White,0.7407146215326751,FALSE,Connecticut,FALSE,"of COVID19 deaths in Connecticut were from individuals of White race (as of June 28, 2020)"
20200628,CT,Deaths,Race,Other,0.003526093088857546,TRUE,Connecticut,FALSE,"of COVID19 deaths in Connecticut were from individuals of Other race (as of June 28, 2020)"
20200628,CT,Deaths,Ethnicity,Hispanic,0.08768218147625764,FALSE,Connecticut,FALSE,"of COVID19 deaths in Connecticut were from individuals of Hispanic ethnicity (as of June 28, 2020)"
20200628,CT,Deaths,Ethnicity,Not Hispanic,0.7407146215326751,FALSE,Connecticut,FALSE,"of COVID19 deaths in Connecticut were from individuals of Not Hispanic ethnicity (as of June 28, 2020)"
20200628,CT,Deaths,Ethnicity,Refused/Unknown,0.01457451810061119,FALSE,Connecticut,FALSE,"of COVID19 deaths in Connecticut were from individuals of Refused/Unknown ethnicity (as of June 28, 2020)"
20200628,DC,Cases,Race,Black,0.5101186322400558,FALSE,District of Columbia,FALSE,"of COVID19 cases in District of Columbia were from individuals of Black race (as of June 28, 2020)"
20200628,DC,Cases,Race,Asian,0.016249626158907387,FALSE,District of Columbia,FALSE,"of COVID19 cases in District of Columbia were from individuals of Asian race (as of June 28, 2020)"
20200628,DC,Cases,Race,Pacific Is.,0.0028910377828730936,TRUE,District of Columbia,FALSE,"of COVID19 cases in District of Columbia were from individuals of Pacific Is. race (as of June 28, 2020)"
20200628,DC,Cases,Race,AI/AN,0.0025919649087827734,TRUE,District of Columbia,FALSE,"of COVID19 cases in District of Columbia were from individuals of AI/AN race (as of June 28, 2020)"
20200628,DC,Cases,Race,Multiracial,,,District of Columbia,FALSE,"of COVID19 cases in District of Columbia were from individuals of Multiracial race (as of June 28, 2020)"
20200628,DC,Cases,Race,White,0.20965008473731434,FALSE,District of Columbia,FALSE,"of COVID19 cases in District of Columbia were from individuals of White race (as of June 28, 2020)"
20200628,DC,Cases,Race,Other,0.2584986541720666,FALSE,District of Columbia,FALSE,"of COVID19 cases in District of Columbia were from individuals of Other race (as of June 28, 2020)"
20200628,DC,Cases,Ethnicity,Hispanic,0.294387399062905,FALSE,District of Columbia,FALSE,"of COVID19 cases in District of Columbia were from individuals of Hispanic ethnicity (as of June 28, 2020)"
